City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Lillesand,NO,2022-04-09 23:02:52,58.2488,8.3778,39.24,60,19,12.66
215,Kiama,AU,2022-04-09 23:02:52,-34.6833,150.8667,72.0,91,12,3.15
216,Salalah,OM,2022-04-09 23:02:53,17.0151,54.0924,78.89,78,0,3.44
217,Pevek,RU,2022-04-09 23:02:53,69.7008,170.3133,-12.68,90,33,1.57
218,Banda Aceh,ID,2022-04-09 23:02:53,5.5577,95.3222,78.67,81,44,4.09
219,Cascais,PT,2022-04-09 23:02:53,38.6979,-9.4215,59.5,73,83,15.99
220,Geraldton,AU,2022-04-09 23:02:54,-28.7667,114.6,61.21,72,75,5.75
221,Svobodnyy,RU,2022-04-09 23:02:09,51.4,128.1333,34.03,90,100,9.82
222,Kindu,CD,2022-04-09 23:02:54,-2.95,25.95,71.06,99,99,2.44
223,Longyearbyen,SJ,2022-04-09 23:02:54,78.2186,15.6401,17.44,73,20,11.5
224,Beringovskiy,RU,2022-04-09 22:57:28,63.05,179.3167,34.09,85,92,24.49
225,Bugulma,RU,2022-04-09 23:02:55,54.55,52.8,38.93,97,100,11.3
226,Currais Novos,BR,2022-04-09 23:02:55,-6.2608,-36.5178,76.42,80,90,15.55
227,Madimba,TZ,2022-04-09 23:02:55,-10.4,40.3333,75.56,90,18,7.36
228,College,US,2022-04-09 23:02:56,64.8569,-147.8028,19.29,41,20,8.05
229,Ancud,CL,2022-04-09 23:02:56,-41.8697,-73.8203,47.23,82,100,7.9
230,Hasaki,JP,2022-04-09 23:02:56,35.7333,140.8333,63.28,74,0,6.98
231,Touba,CI,2022-04-09 23:02:57,8.2833,-7.6833,76.66,73,89,3.22
232,Mount Isa,AU,2022-04-09 22:53:47,-20.7333,139.5,83.97,32,56,4.61
233,Brockville,CA,2022-04-09 23:02:57,44.5834,-75.6826,48.52,85,86,8.01
234,Padang,ID,2022-04-09 22:57:27,-0.9492,100.3543,73.45,76,82,3.89
235,Kruisfontein,ZA,2022-04-09 23:03:57,-34.0033,24.7314,62.89,93,76,9.06
236,Podlesnyy,RU,2022-04-09 23:03:58,53.94,38.2687,46.24,76,100,14.16
237,Plouzane,FR,2022-04-09 23:03:58,48.3833,-4.6167,42.85,79,0,5.75
238,Shelburne,CA,2022-04-09 23:03:58,44.0787,-80.2041,32.9,84,99,11.16
239,Urusha,RU,2022-04-09 23:03:58,54.05,122.9,25.09,72,100,6.67
240,Canutama,BR,2022-04-09 23:03:59,-6.5339,-64.3831,75.38,97,91,3.2
241,San Juan,AR,2022-04-09 23:00:44,-31.5375,-68.5364,79.52,36,0,9.91
242,Luderitz,NA,2022-04-09 23:03:59,-26.6481,15.1594,63.93,65,0,5.75
243,Airai,TL,2022-04-09 23:03:59,-8.9266,125.4092,62.87,62,97,2.28
244,Cidreira,BR,2022-04-09 23:04:00,-30.1811,-50.2056,69.82,90,81,7.81
245,Severo-Kurilsk,RU,2022-04-09 23:04:00,50.6789,156.125,31.06,72,100,7.54
246,Akureyri,IS,2022-04-09 23:04:00,65.6835,-18.0878,20.14,83,92,5.53
247,Verkhnetulomskiy,RU,2022-04-09 23:04:01,68.6073,31.7962,33.93,85,55,9.08
248,Okoneshnikovo,RU,2022-04-09 23:04:01,54.8377,75.0834,31.14,77,9,2.39
249,Wladyslawowo,PL,2022-04-09 23:04:01,54.7909,18.4009,40.93,77,34,23.76
250,Charters Towers,AU,2022-04-09 23:04:01,-20.1,146.2667,79.77,60,14,12.1
251,Pisco,PE,2022-04-09 23:04:02,-13.7,-76.2167,69.85,78,0,10.36
252,Shimoda,JP,2022-04-09 23:04:02,34.6667,138.95,70.11,66,0,2.98
253,Fairbanks,US,2022-04-09 22:59:37,64.8378,-147.7164,19.31,42,60,3.0
254,Nikolskoye,RU,2022-04-09 23:04:02,59.7035,30.7861,36.88,92,98,5.86
255,Alice Springs,AU,2022-04-09 23:04:03,-23.7,133.8833,69.22,32,0,0.0
256,Poum,NC,2022-04-09 23:04:03,-20.2333,164.0167,79.95,79,51,14.34
257,Vila Franca Do Campo,PT,2022-04-09 22:59:19,37.7167,-25.4333,57.61,72,68,23.17
258,Mayor Pablo Lagerenza,PY,2022-04-09 23:04:03,-19.9309,-60.7718,84.76,50,55,4.94
259,Avarua,CK,2022-04-09 23:04:04,-21.2078,-159.775,84.25,79,40,8.05
260,Lagoa,PT,2022-04-09 23:04:04,39.05,-27.9833,55.02,73,48,39.08
261,Krasnyy Luch,UA,2022-04-09 23:04:04,48.1395,38.9371,46.71,85,94,9.22
262,Makat,KZ,2022-04-09 23:04:05,47.6469,53.3463,53.96,79,17,12.55
263,Coihaique,CL,2022-04-09 23:00:01,-45.5752,-72.0662,48.22,98,100,4.36
264,Vestmannaeyjar,IS,2022-04-09 23:03:12,63.4427,-20.2734,39.22,67,100,27.98
265,Faanui,PF,2022-04-09 23:04:05,-16.4833,-151.75,82.63,74,84,17.92
266,Birjand,IR,2022-04-09 23:00:09,32.8663,59.2211,69.93,14,97,10.54
267,Kadiri,IN,2022-04-09 23:04:06,14.1167,78.1667,76.62,71,82,2.21
268,Lavrentiya,RU,2022-04-09 23:04:06,65.5833,-171.0,21.06,93,96,5.66
269,Porto Velho,BR,2022-04-09 23:02:49,-8.7619,-63.9039,80.65,89,20,3.44
270,Shache,CN,2022-04-09 23:04:06,38.4167,77.2406,63.25,23,41,6.58
271,Hokitika,NZ,2022-04-09 23:04:07,-42.7167,170.9667,62.11,64,41,4.41
272,Nishihara,JP,2022-04-09 23:04:07,26.1842,127.7558,73.06,92,75,10.36
273,Paptalaya,HN,2022-04-09 23:04:07,15.5,-84.3167,75.81,87,63,7.07
274,Samtredia,GE,2022-04-09 23:04:07,42.1537,42.3352,50.27,76,0,13.8
275,Mwene-Ditu,CD,2022-04-09 23:04:08,-7.0,23.45,65.84,95,98,2.55
276,Najran,SA,2022-04-09 23:04:08,17.4924,44.1277,69.93,18,0,4.05
277,Husavik,IS,2022-04-09 23:04:08,66.0449,-17.3389,22.51,84,98,6.04
278,Molango,MX,2022-04-09 23:04:09,20.7833,-98.7167,67.33,38,3,7.45
279,Richards Bay,ZA,2022-04-09 23:04:09,-28.783,32.0377,67.21,84,100,3.04
280,Doha,QA,2022-04-09 23:02:33,25.2867,51.5333,78.78,41,0,4.61
281,Ugento,IT,2022-04-09 23:05:09,39.9263,18.1574,57.7,79,81,3.78
