City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Diego De Almagro,CL,-26.3667,-70.05,64.78,40,28,4.72,scattered clouds
332,Kapoeta,SS,4.7717,33.5903,84.45,37,26,17.83,scattered clouds
333,Kilemary,RU,56.7783,46.8659,38.23,99,100,6.02,overcast clouds
334,Seydi,TM,39.4816,62.9137,74.35,25,93,10.02,overcast clouds
335,Visnes,NO,59.3556,5.2242,39.25,75,75,19.57,broken clouds
336,Sinnar,SD,13.5691,33.5672,93.13,15,41,7.78,scattered clouds
337,Shimoda,JP,34.6667,138.95,69.1,66,0,2.98,clear sky
338,Aberdeen,GB,57.1437,-2.0981,36.09,92,20,10.36,few clouds
339,Kiama,AU,-34.6833,150.8667,71.01,95,12,3.15,few clouds
340,Eyl,SO,7.9803,49.8164,79.74,82,79,6.8,broken clouds
341,Tommot,RU,58.9564,126.2925,13.41,90,53,0.78,broken clouds
342,Manaia,NZ,-39.55,174.1333,67.89,59,6,8.99,clear sky
343,Arawa,PG,-6.2132,155.5367,84.76,63,55,3.0,broken clouds
344,Te Anau,NZ,-45.4167,167.7167,56.71,60,24,1.3,few clouds
345,Kloulklubed,PW,7.0419,134.2556,77.5,80,100,20.04,overcast clouds
